Date,Month Year,start of year,qtr No,Qtr,Start Of Month
12-Jan-18,01-18,1/1/2018 0:00,1,Q1,1/1/2018
13-Jan-18,01-18,1/1/2018 0:00,1,Q1,1/1/2018
14-Jan-18,01-18,1/1/2018 0:00,1,Q1,1/1/2018
15-Jan-18,01-18,1/1/2018 0:00,1,Q1,1/1/2018
16-Jan-18,01-18,1/1/2018 0:00,1,Q1,1/1/2018
17-Jan-18,01-18,1/1/2018 0:00,1,Q1,1/1/2018
18-Jan-18,01-18,1/1/2018 0:00,1,Q1,1/1/2018
19-Jan-18,01-18,1/1/2018 0:00,1,Q1,1/1/2018
20-Jan-18,01-18,1/1/2018 0:00,1,Q1,1/1/2018
21-Jan-18,01-18,1/1/2018 0:00,1,Q1,1/1/2018
